3.18E-02	2.82E-02
2.45E-02	2.71E-02
1.80E-02	2.77E-02
1.26E-02	2.63E-02
9.21E-03	2.86E-02
5.11E-03	3.15E-02
-6.04E-04	3.47E-02
-5.61E-03	3.53E-02
-9.39E-03	3.48E-02
-1.39E-02	3.84E-02
-2.01E-02	3.94E-02
-2.72E-02	3.42E-02
-2.77E-02	2.87E-02
-2.49E-02	2.03E-02
-2.02E-02	1.68E-02
-1.76E-02	1.59E-02
-2.12E-02	9.76E-03
-2.12E-02	7.81E-03
-1.74E-02	4.12E-03
-1.61E-02	2.81E-03
-1.38E-02	-2.11E-04
-1.22E-02	-4.13E-03
-1.22E-02	-8.41E-03
-1.21E-02	-1.24E-02
-1.36E-02	-1.58E-02
-1.43E-02	-1.96E-02
-1.43E-02	-2.31E-02
-1.26E-02	-2.66E-02
-1.12E-02	-2.88E-02
-1.24E-02	-3.13E-02
-1.25E-02	-3.74E-02
-1.11E-02	-4.08E-02
-5.67E-03	-4.04E-02
1.76E-06	-4.01E-02
5.43E-03	-4.16E-02
1.15E-02	-4.13E-02
1.61E-02	-3.99E-02
2.20E-02	-3.86E-02
2.76E-02	-3.58E-02
3.32E-02	-3.33E-02
3.80E-02	-3.26E-02
