1.22E-02	-2.55E-02
7.86E-03	-2.70E-02
2.45E-03	-2.85E-02
-2.41E-03	-3.00E-02
-5.02E-03	-3.09E-02
-5.60E-03	-3.47E-02
-8.03E-03	-3.54E-02
-1.57E-02	-3.60E-02
-2.24E-02	-3.36E-02
-2.70E-02	-3.17E-02
-3.58E-02	-3.38E-02
-4.14E-02	-3.79E-02
-4.53E-02	-3.85E-02
-5.04E-02	-3.77E-02
-5.50E-02	-3.92E-02
-6.23E-02	-4.02E-02
-6.62E-02	-3.92E-02
-6.66E-02	-3.38E-02
-6.74E-02	-2.60E-02
-6.59E-02	-1.51E-02
-6.31E-02	-1.11E-02
-5.80E-02	-4.34E-03
-5.33E-02	1.13E-03
-5.18E-02	6.98E-03
-5.34E-02	1.15E-02
-5.27E-02	1.79E-02
-4.78E-02	2.15E-02
-4.53E-02	2.49E-02
-4.42E-02	3.28E-02
-4.56E-02	3.81E-02
-4.52E-02	4.22E-02
-4.41E-02	4.62E-02
-4.15E-02	5.09E-02
-3.75E-02	5.41E-02
-3.10E-02	5.66E-02
-2.60E-02	5.83E-02
-2.24E-02	5.69E-02
-1.91E-02	5.26E-02
-1.63E-02	4.73E-02
-1.52E-02	4.51E-02
-1.30E-02	4.51E-02
-7.75E-03	4.66E-02
-3.66E-03	4.56E-02
-3.09E-04	4.41E-02
2.48E-03	4.36E-02
7.33E-03	4.32E-02
1.09E-02	4.28E-02
1.53E-02	4.24E-02
2.41E-02	4.05E-02
2.99E-02	3.98E-02
3.49E-02	3.81E-02
3.88E-02	3.81E-02
4.27E-02	3.75E-02
4.89E-02	3.58E-02
5.35E-02	3.51E-02
