1.20E-01  -5.31E-02
1.05E-01  -5.29E-02
9.66E-02  -5.12E-02
8.41E-02  -5.04E-02
8.14E-02  -4.80E-02
7.57E-02  -4.75E-02
6.63E-02  -4.67E-02
5.89E-02  -4.70E-02
5.38E-02  -4.50E-02
5.28E-02  -4.30E-02
4.32E-02  -4.29E-02
3.53E-02  -4.34E-02
3.09E-02  -4.22E-02
2.18E-02  -4.20E-02
1.26E-02  -4.30E-02
4.14E-03  -4.30E-02
-4.44E-03 -4.25E-02
-2.62E-03 -4.00E-02
-9.03E-03 -3.83E-02
-1.29E-02 -3.70E-02
-1.75E-02 -3.38E-02
-2.54E-02 -2.95E-02
-2.82E-02 -2.75E-02
-3.49E-02 -2.38E-02
-4.00E-02 -2.11E-02
-4.46E-02 -1.86E-02
-4.83E-02 -1.71E-02
-4.83E-02 -1.57E-02
-4.41E-02 -1.15E-02
-4.17E-02 -1.84E-03
-3.92E-02  1.51E-03
-3.35E-02  5.19E-03
-2.60E-02  9.71E-03
-1.71E-02  1.31E-02
-1.13E-02  1.52E-02
-1.72E-02  1.72E-02
-1.84E-02  1.91E-02
-1.33E-02  2.19E-02
-7.98E-03  2.31E-02
9.31E-04   2.41E-02
1.25E-02   2.61E-02
2.43E-02   2.78E-02
3.77E-02   3.40E-02
4.07E-02   3.41E-02
